Día,Cajero,Monto,Hora de la transacción
1,Cajero 196,"2,7",0:0
1,Cajero 14,"2,92",0:1
1,Cajero 143,"5,69",0:3
1,Cajero 142,"6,74",0:4
1,Cajero 214,"2,4",0:6
1,Cajero 172,"6,89",0:7
1,Cajero 35,"2,37",0:8
1,Cajero 88,"4,81",0:10
1,Cajero 207,"2,37",0:12
1,Cajero 107,"2,98",0:13
1,Cajero 89,"5,84",0:15
1,Cajero 197,"2,57",0:15
1,Cajero 120,"4,7",0:18
1,Cajero 109,"6,98",0:18
1,Cajero 199,"5,54",0:18
1,Cajero 172,"3,42",0:20
1,Cajero 67,"3,1",0:20
1,Cajero 165,"5,55",0:23
1,Cajero 75,6,0:25
1,Cajero 184,"7,14",0:27
1,Cajero 192,"4,12",0:29
1,Cajero 6,"3,04",0:29
1,Cajero 153,"3,23",0:29
1,Cajero 103,"5,65",0:32
1,Cajero 146,"5,72",0:33
1,Cajero 201,"7,65",0:35
1,Cajero 200,"7,59",0:36
1,Cajero 185,"6,95",0:39
1,Cajero 99,"5,08",0:39
1,Cajero 124,"6,28",0:40
1,Cajero 120,"3,42",0:42
1,Cajero 150,"5,15",0:45
1,Cajero 138,"4,88",0:48
1,Cajero 156,"7,18",0:51
1,Cajero 167,"2,61",0:51
1,Cajero 192,5,0:52
1,Cajero 174,"7,13",0:52
1,Cajero 182,"2,36",0:54
1,Cajero 59,"6,04",0:54
1,Cajero 92,"3,68",0:57
1,Cajero 7,"7,49",0:58
1,Cajero 89,"7,73",1:0
1,Cajero 220,"5,23",1:2
1,Cajero 133,"3,35",1:3
1,Cajero 165,"7,81",1:5
1,Cajero 123,"4,98",1:7
1,Cajero 98,"6,55",1:8
1,Cajero 73,"4,77",1:9
1,Cajero 130,"6,88",1:11
1,Cajero 186,"4,7",1:12
1,Cajero 74,"4,95",1:12
1,Cajero 114,"5,7",1:14
1,Cajero 23,"7,13",1:16
1,Cajero 41,"5,7",1:17
1,Cajero 210,"4,09",1:20
1,Cajero 144,"2,32",1:22
1,Cajero 225,"3,24",1:23
1,Cajero 122,"3,27",1:24
1,Cajero 190,"5,77",1:24
1,Cajero 221,"2,97",1:27
1,Cajero 218,"5,86",1:30
1,Cajero 15,"2,72",1:30
1,Cajero 22,"3,59",1:31
1,Cajero 220,"6,05",1:33
1,Cajero 86,"5,14",1:33
1,Cajero 71,"7,12",1:34
1,Cajero 128,"6,76",1:34
